id,project_id,decision_date,decision_type,description,decision_owner,status,linked_milestone_id
DEC056,P006,2026-06-10,architecture,MAX2.0 управленческое решение 50 по потоку 20.,Steering Committee,under_review,M070
DEC057,P006,2026-06-11,budget,MAX2.0 управленческое решение 51 по потоку 21.,PMO,approved,M071
DEC058,P006,2026-06-12,security,MAX2.0 управленческое решение 52 по потоку 22.,Архитектурный комитет,pending,M072
DEC059,P006,2026-06-13,migration,MAX2.0 управленческое решение 53 по потоку 23.,Максим Туревич,pending,M073
DEC060,P006,2026-06-14,release,MAX2.0 управленческое решение 54 по потоку 24.,Steering Committee,under_review,M074
DEC061,P006,2026-06-15,scope,MAX2.0 управленческое решение 55 по потоку 25.,PMO,approved,M075
DEC062,P006,2026-06-16,architecture,MAX2.0 управленческое решение 56 по потоку 26.,Архитектурный комитет,pending,M076
DEC063,P006,2026-06-17,budget,MAX2.0 управленческое решение 57 по потоку 27.,Максим Туревич,pending,M077
DEC064,P006,2026-06-18,security,MAX2.0 управленческое решение 58 по потоку 28.,Steering Committee,under_review,M078
DEC065,P006,2026-06-19,migration,MAX2.0 управленческое решение 59 по потоку 29.,PMO,approved,M079
DEC066,P006,2026-06-20,release,MAX2.0 управленческое решение 60 по потоку 30.,Архитектурный комитет,pending,M080
DEC067,P006,2026-06-21,scope,MAX2.0 управленческое решение 61 по потоку 1.,Максим Туревич,pending,M081
DEC068,P006,2026-06-22,architecture,MAX2.0 управленческое решение 62 по потоку 2.,Steering Committee,under_review,M082
DEC069,P006,2026-06-23,budget,MAX2.0 управленческое решение 63 по потоку 3.,PMO,approved,M083
DEC070,P006,2026-06-24,security,MAX2.0 управленческое решение 64 по потоку 4.,Архитектурный комитет,pending,M084
DEC071,P006,2026-06-25,migration,MAX2.0 управленческое решение 65 по потоку 5.,Максим Туревич,pending,M085
DEC072,P006,2026-06-26,release,MAX2.0 управленческое решение 66 по потоку 6.,Steering Committee,under_review,M086
DEC073,P006,2026-06-27,scope,MAX2.0 управленческое решение 67 по потоку 7.,PMO,approved,M087
DEC074,P006,2026-06-28,architecture,MAX2.0 управленческое решение 68 по потоку 8.,Архитектурный комитет,pending,M088
DEC075,P006,2026-06-29,budget,MAX2.0 управленческое решение 69 по потоку 9.,Максим Туревич,pending,M089
DEC076,P006,2026-06-30,security,MAX2.0 управленческое решение 70 по потоку 10.,Steering Committee,under_review,M090
DEC077,P006,2026-07-01,migration,MAX2.0 управленческое решение 71 по потоку 11.,PMO,approved,M091
DEC078,P006,2026-07-02,release,MAX2.0 управленческое решение 72 по потоку 12.,Архитектурный комитет,pending,M092
DEC079,P006,2026-07-03,scope,MAX2.0 управленческое решение 73 по потоку 13.,Максим Туревич,pending,M021
DEC080,P006,2026-07-04,architecture,MAX2.0 управленческое решение 74 по потоку 14.,Steering Committee,under_review,M022
DEC081,P006,2026-07-05,budget,MAX2.0 управленческое решение 75 по потоку 15.,PMO,approved,M023
DEC082,P006,2026-07-06,security,MAX2.0 управленческое решение 76 по потоку 16.,Архитектурный комитет,pending,M024
DEC083,P006,2026-07-07,migration,MAX2.0 управленческое решение 77 по потоку 17.,Максим Туревич,pending,M025
DEC084,P006,2026-07-08,release,MAX2.0 управленческое решение 78 по потоку 18.,Steering Committee,under_review,M026
DEC085,P006,2026-07-09,scope,MAX2.0 управленческое решение 79 по потоку 19.,PMO,approved,M027
DEC086,P006,2026-07-10,architecture,MAX2.0 управленческое решение 80 по потоку 20.,Архитектурный комитет,pending,M028
DEC087,P006,2026-06-01,budget,MAX2.0 управленческое решение 81 по потоку 21.,Максим Туревич,pending,M029
DEC088,P006,2026-06-02,security,MAX2.0 управленческое решение 82 по потоку 22.,Steering Committee,under_review,M030
DEC089,P006,2026-06-03,migration,MAX2.0 управленческое решение 83 по потоку 23.,PMO,approved,M031
DEC090,P006,2026-06-04,release,MAX2.0 управленческое решение 84 по потоку 24.,Архитектурный комитет,pending,M032
DEC091,P006,2026-06-05,scope,MAX2.0 управленческое решение 85 по потоку 25.,Максим Туревич,pending,M033
DEC092,P006,2026-06-06,architecture,MAX2.0 управленческое решение 86 по потоку 26.,Steering Committee,under_review,M034
DEC093,P006,2026-06-07,budget,MAX2.0 управленческое решение 87 по потоку 27.,PMO,approved,M035
DEC094,P006,2026-06-08,security,MAX2.0 управленческое решение 88 по потоку 28.,Архитектурный комитет,pending,M036
DEC095,P006,2026-06-09,migration,MAX2.0 управленческое решение 89 по потоку 29.,Максим Туревич,pending,M037
DEC096,P006,2026-06-10,release,MAX2.0 управленческое решение 90 по потоку 30.,Steering Committee,under_review,M038
DEC097,P006,2026-06-11,scope,MAX2.0 управленческое решение 91 по потоку 1.,PMO,approved,M039
DEC098,P006,2026-06-12,architecture,MAX2.0 управленческое решение 92 по потоку 2.,Архитектурный комитет,pending,M040
DEC099,P006,2026-06-13,budget,MAX2.0 управленческое решение 93 по потоку 3.,Максим Туревич,pending,M041
DEC100,P006,2026-06-14,security,MAX2.0 управленческое решение 94 по потоку 4.,Steering Committee,under_review,M042
DEC101,P006,2026-06-15,migration,MAX2.0 управленческое решение 95 по потоку 5.,PMO,approved,M043
DEC102,P006,2026-06-16,release,MAX2.0 управленческое решение 96 по потоку 6.,Архитектурный комитет,pending,M044
DEC103,P006,2026-06-17,scope,MAX2.0 управленческое решение 97 по потоку 7.,Максим Туревич,pending,M045
DEC104,P006,2026-06-18,architecture,MAX2.0 управленческое решение 98 по потоку 8.,Steering Committee,under_review,M046
DEC105,P006,2026-06-19,budget,MAX2.0 управленческое решение 99 по потоку 9.,PMO,approved,M047
DEC106,P006,2026-06-20,security,MAX2.0 управленческое решение 100 по потоку 10.,Архитектурный комитет,pending,M048
DEC107,P006,2026-06-21,migration,MAX2.0 управленческое решение 101 по потоку 11.,Максим Туревич,pending,M049
DEC108,P006,2026-06-22,release,MAX2.0 управленческое решение 102 по потоку 12.,Steering Committee,under_review,M050
DEC109,P006,2026-06-23,scope,MAX2.0 управленческое решение 103 по потоку 13.,PMO,approved,M051
DEC110,P006,2026-06-24,architecture,MAX2.0 управленческое решение 104 по потоку 14.,Архитектурный комитет,pending,M052
DEC111,P006,2026-06-25,budget,MAX2.0 управленческое решение 105 по потоку 15.,Максим Туревич,pending,M053
DEC112,P006,2026-06-26,security,MAX2.0 управленческое решение 106 по потоку 16.,Steering Committee,under_review,M054
DEC113,P006,2026-06-27,migration,MAX2.0 управленческое решение 107 по потоку 17.,PMO,approved,M055
DEC114,P006,2026-06-28,release,MAX2.0 управленческое решение 108 по потоку 18.,Архитектурный комитет,pending,M056
DEC115,P006,2026-06-29,scope,MAX2.0 управленческое решение 109 по потоку 19.,Максим Туревич,pending,M057
DEC116,P006,2026-06-30,architecture,MAX2.0 управленческое решение 110 по потоку 20.,Steering Committee,under_review,M058
DEC117,P006,2026-07-01,budget,MAX2.0 управленческое решение 111 по потоку 21.,PMO,approved,M059
DEC118,P006,2026-07-02,security,MAX2.0 управленческое решение 112 по потоку 22.,Архитектурный комитет,pending,M060
DEC119,P006,2026-07-03,migration,MAX2.0 управленческое решение 113 по потоку 23.,Максим Туревич,pending,M061
DEC120,P006,2026-07-04,release,MAX2.0 управленческое решение 114 по потоку 24.,Steering Committee,under_review,M062
DEC121,P006,2026-07-05,scope,MAX2.0 управленческое решение 115 по потоку 25.,PMO,approved,M063
DEC122,P006,2026-07-06,architecture,MAX2.0 управленческое решение 116 по потоку 26.,Архитектурный комитет,pending,M064
DEC123,P006,2026-07-07,budget,MAX2.0 управленческое решение 117 по потоку 27.,Максим Туревич,pending,M065
DEC124,P006,2026-07-08,security,MAX2.0 управленческое решение 118 по потоку 28.,Steering Committee,under_review,M066
DEC125,P006,2026-07-09,migration,MAX2.0 управленческое решение 119 по потоку 29.,PMO,approved,M067
DEC126,P006,2026-07-10,release,MAX2.0 управленческое решение 120 по потоку 30.,Архитектурный комитет,pending,M068
