id,project_id,dependency_type,depends_on,owner_team,expected_date,status,criticality,linked_task_id
D060,P006,data_owner,MAX2.0 внешний контур 5,MAX Reliability,2026-06-18,delayed,high,T670
D061,P006,internal_system,MAX2.0 внешний контур 6,MAX Compliance,2026-06-17,blocked,medium,T681
D062,P006,approval,MAX2.0 внешний контур 7,MAX CX,2026-06-16,responded,low,T692
D063,P006,vendor,MAX2.0 внешний контур 8,MAX PMO,2026-06-15,pending,critical,T703
D064,P006,release_window,MAX2.0 внешний контур 9,MAX Analysis,2026-06-14,delayed,high,T714
D065,P006,data_owner,MAX2.0 внешний контур 10,MAX Architecture,2026-06-13,blocked,medium,T725
D066,P006,internal_system,MAX2.0 внешний контур 11,MAX Core,2026-06-12,responded,low,T736
D067,P006,approval,MAX2.0 внешний контур 12,MAX Front,2026-06-11,pending,critical,T747
D068,P006,vendor,MAX2.0 внешний контур 13,MAX Data,2026-06-10,delayed,high,T758
D069,P006,release_window,MAX2.0 внешний контур 14,MAX AI,2026-06-09,blocked,medium,T769
D070,P006,data_owner,MAX2.0 внешний контур 15,MAX Quality,2026-06-08,responded,low,T780
D071,P006,internal_system,MAX2.0 внешний контур 16,MAX Platform,2026-06-07,pending,critical,T791
D072,P006,approval,MAX2.0 внешний контур 17,MAX Security,2026-06-06,delayed,high,T802
D073,P006,vendor,MAX2.0 внешний контур 18,MAX Integration,2026-06-05,blocked,medium,T813
D074,P006,release_window,MAX2.0 внешний контур 19,MAX Reliability,2026-06-04,responded,low,T824
D075,P006,data_owner,MAX2.0 внешний контур 20,MAX Compliance,2026-06-03,pending,critical,T835
D076,P006,internal_system,MAX2.0 внешний контур 21,MAX CX,2026-06-02,delayed,high,T846
D077,P006,approval,MAX2.0 внешний контур 22,MAX PMO,2026-06-23,blocked,medium,T857
D078,P006,vendor,MAX2.0 внешний контур 23,MAX Analysis,2026-06-22,responded,low,T868
D079,P006,release_window,MAX2.0 внешний контур 24,MAX Architecture,2026-06-21,pending,critical,T879
D080,P006,data_owner,MAX2.0 внешний контур 25,MAX Core,2026-06-20,delayed,high,T890
D081,P006,internal_system,MAX2.0 внешний контур 26,MAX Front,2026-06-19,blocked,medium,T901
D082,P006,approval,MAX2.0 внешний контур 27,MAX Data,2026-06-18,responded,low,T912
D083,P006,vendor,MAX2.0 внешний контур 28,MAX AI,2026-06-17,pending,critical,T923
D084,P006,release_window,MAX2.0 внешний контур 29,MAX Quality,2026-06-16,delayed,high,T934
D085,P006,data_owner,MAX2.0 внешний контур 30,MAX Platform,2026-06-15,blocked,medium,T945
D086,P006,internal_system,MAX2.0 внешний контур 31,MAX Security,2026-06-14,responded,low,T956
D087,P006,approval,MAX2.0 внешний контур 32,MAX Integration,2026-06-13,pending,critical,T967
D088,P006,vendor,MAX2.0 внешний контур 33,MAX Reliability,2026-06-12,delayed,high,T978
D089,P006,release_window,MAX2.0 внешний контур 34,MAX Compliance,2026-06-11,blocked,medium,T989
D090,P006,data_owner,MAX2.0 внешний контур 35,MAX CX,2026-06-10,responded,low,T1000
D091,P006,internal_system,MAX2.0 внешний контур 36,MAX PMO,2026-06-09,pending,critical,T1011
D092,P006,approval,MAX2.0 внешний контур 37,MAX Analysis,2026-06-08,delayed,high,T1022
D093,P006,vendor,MAX2.0 внешний контур 38,MAX Architecture,2026-06-07,blocked,medium,T1033
D094,P006,release_window,MAX2.0 внешний контур 39,MAX Core,2026-06-06,responded,low,T1044
D095,P006,data_owner,MAX2.0 внешний контур 40,MAX Front,2026-06-05,pending,critical,T1055
D096,P006,internal_system,MAX2.0 внешний контур 41,MAX Data,2026-06-04,delayed,high,T1066
D097,P006,approval,MAX2.0 внешний контур 42,MAX AI,2026-06-03,blocked,medium,T1077
D098,P006,vendor,MAX2.0 внешний контур 43,MAX Quality,2026-06-02,responded,low,T1088
D099,P006,release_window,MAX2.0 внешний контур 44,MAX Platform,2026-06-23,pending,critical,T1099
D100,P006,data_owner,MAX2.0 внешний контур 45,MAX Security,2026-06-22,delayed,high,T1110
D101,P006,internal_system,MAX2.0 внешний контур 1,MAX Integration,2026-06-21,blocked,medium,T1121
D102,P006,approval,MAX2.0 внешний контур 2,MAX Reliability,2026-06-20,responded,low,T1132
D103,P006,vendor,MAX2.0 внешний контур 3,MAX Compliance,2026-06-19,pending,critical,T1143
D104,P006,release_window,MAX2.0 внешний контур 4,MAX CX,2026-06-18,delayed,high,T1154
D105,P006,data_owner,MAX2.0 внешний контур 5,MAX PMO,2026-06-17,blocked,medium,T1165
D106,P006,internal_system,MAX2.0 внешний контур 6,MAX Analysis,2026-06-16,responded,low,T1176
D107,P006,approval,MAX2.0 внешний контур 7,MAX Architecture,2026-06-15,pending,critical,T1187
D108,P006,vendor,MAX2.0 внешний контур 8,MAX Core,2026-06-14,delayed,high,T1198
D109,P006,release_window,MAX2.0 внешний контур 9,MAX Front,2026-06-13,blocked,medium,T1209
D110,P006,data_owner,MAX2.0 внешний контур 10,MAX Data,2026-06-12,responded,low,T1220
D111,P006,internal_system,MAX2.0 внешний контур 11,MAX AI,2026-06-11,pending,critical,T1231
D112,P006,approval,MAX2.0 внешний контур 12,MAX Quality,2026-06-10,delayed,high,T1242
D113,P006,vendor,MAX2.0 внешний контур 13,MAX Platform,2026-06-09,blocked,medium,T1253
D114,P006,release_window,MAX2.0 внешний контур 14,MAX Security,2026-06-08,responded,low,T1264
D115,P006,data_owner,MAX2.0 внешний контур 15,MAX Integration,2026-06-07,pending,critical,T1275
D116,P006,internal_system,MAX2.0 внешний контур 16,MAX Reliability,2026-06-06,delayed,high,T1286
D117,P006,approval,MAX2.0 внешний контур 17,MAX Compliance,2026-06-05,blocked,medium,T1297
D118,P006,vendor,MAX2.0 внешний контур 18,MAX CX,2026-06-04,responded,low,T1308
D119,P006,release_window,MAX2.0 внешний контур 19,MAX PMO,2026-06-03,pending,critical,T1319
D120,P006,data_owner,MAX2.0 внешний контур 20,MAX Analysis,2026-06-02,delayed,high,T1330
D121,P006,internal_system,MAX2.0 внешний контур 21,MAX Architecture,2026-06-23,blocked,medium,T141
D122,P006,approval,MAX2.0 внешний контур 22,MAX Core,2026-06-22,responded,low,T152
D123,P006,vendor,MAX2.0 внешний контур 23,MAX Front,2026-06-21,pending,critical,T163
D124,P006,release_window,MAX2.0 внешний контур 24,MAX Data,2026-06-20,delayed,high,T174
D125,P006,data_owner,MAX2.0 внешний контур 25,MAX AI,2026-06-19,blocked,medium,T185
D126,P006,internal_system,MAX2.0 внешний контур 26,MAX Quality,2026-06-18,responded,low,T196
D127,P006,approval,MAX2.0 внешний контур 27,MAX Platform,2026-06-17,pending,critical,T207
D128,P006,vendor,MAX2.0 внешний контур 28,MAX Security,2026-06-16,delayed,high,T218
D129,P006,release_window,MAX2.0 внешний контур 29,MAX Integration,2026-06-15,blocked,medium,T229
D130,P006,data_owner,MAX2.0 внешний контур 30,MAX Reliability,2026-06-14,responded,low,T240
D131,P006,internal_system,MAX2.0 внешний контур 31,MAX Compliance,2026-06-13,pending,critical,T251
D132,P006,approval,MAX2.0 внешний контур 32,MAX CX,2026-06-12,delayed,high,T262
D133,P006,vendor,MAX2.0 внешний контур 33,MAX PMO,2026-06-11,blocked,medium,T273
D134,P006,release_window,MAX2.0 внешний контур 34,MAX Analysis,2026-06-10,responded,low,T284
D135,P006,data_owner,MAX2.0 внешний контур 35,MAX Architecture,2026-06-09,pending,critical,T295
D136,P006,internal_system,MAX2.0 внешний контур 36,MAX Core,2026-06-08,delayed,high,T306
D137,P006,approval,MAX2.0 внешний контур 37,MAX Front,2026-06-07,blocked,medium,T317
D138,P006,vendor,MAX2.0 внешний контур 38,MAX Data,2026-06-06,responded,low,T328
D139,P006,release_window,MAX2.0 внешний контур 39,MAX AI,2026-06-05,pending,critical,T339
D140,P006,data_owner,MAX2.0 внешний контур 40,MAX Quality,2026-06-04,delayed,high,T350
D141,P006,internal_system,MAX2.0 внешний контур 41,MAX Platform,2026-06-03,blocked,medium,T361
D142,P006,approval,MAX2.0 внешний контур 42,MAX Security,2026-06-02,responded,low,T372
D143,P006,vendor,MAX2.0 внешний контур 43,MAX Integration,2026-06-23,pending,critical,T383
D144,P006,release_window,MAX2.0 внешний контур 44,MAX Reliability,2026-06-22,delayed,high,T394
D145,P006,data_owner,MAX2.0 внешний контур 45,MAX Compliance,2026-06-21,blocked,medium,T405
D146,P006,internal_system,MAX2.0 внешний контур 1,MAX CX,2026-06-20,responded,low,T416
D147,P006,approval,MAX2.0 внешний контур 2,MAX PMO,2026-06-19,pending,critical,T427
D148,P006,vendor,MAX2.0 внешний контур 3,MAX Analysis,2026-06-18,delayed,high,T438
D149,P006,release_window,MAX2.0 внешний контур 4,MAX Architecture,2026-06-17,blocked,medium,T449
D150,P006,data_owner,MAX2.0 внешний контур 5,MAX Core,2026-06-16,responded,low,T460
D151,P006,internal_system,MAX2.0 внешний контур 6,MAX Front,2026-06-15,pending,critical,T471
D152,P006,approval,MAX2.0 внешний контур 7,MAX Data,2026-06-14,delayed,high,T482
D153,P006,vendor,MAX2.0 внешний контур 8,MAX AI,2026-06-13,blocked,medium,T493
D154,P006,release_window,MAX2.0 внешний контур 9,MAX Quality,2026-06-12,responded,low,T504
D155,P006,data_owner,MAX2.0 внешний контур 10,MAX Platform,2026-06-11,pending,critical,T515
D156,P006,internal_system,MAX2.0 внешний контур 11,MAX Security,2026-06-10,delayed,high,T526
D157,P006,approval,MAX2.0 внешний контур 12,MAX Integration,2026-06-09,blocked,medium,T537
D158,P006,vendor,MAX2.0 внешний контур 13,MAX Reliability,2026-06-08,responded,low,T548
D159,P006,release_window,MAX2.0 внешний контур 14,MAX Compliance,2026-06-07,pending,critical,T559
D160,P006,data_owner,MAX2.0 внешний контур 15,MAX CX,2026-06-06,delayed,high,T570
