id,project_id,communication_id,message_time,sender_team,recipient_team,channel,message_type,status,summary,linked_task_id,is_escalation
CM073,P006,C037,2026-06-05 10:14:00,MAX PMO,MAX Core,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 15.,T201,False
CM074,P006,C037,2026-06-10 16:14:00,MAX Core,MAX PMO,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 15.,T201,False
CM075,P006,C038,2026-06-04 10:15:00,MAX Analysis,MAX Front,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 16.,T206,False
CM076,P006,C038,2026-06-09 16:15:00,PMO,MAX Front,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 16.,T206,True
CM077,P006,C039,2026-06-03 10:16:00,MAX Architecture,MAX Data,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 17.,T211,False
CM078,P006,C039,2026-06-08 16:16:00,MAX Data,MAX Architecture,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 17.,T211,False
CM079,P006,C040,2026-06-02 10:17:00,MAX Core,MAX AI,Email,request,sent,Первичный запрос MAX2.0 по согласованию 18.,T216,False
CM080,P006,C040,2026-06-24 16:17:00,MAX AI,MAX Core,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 18.,T216,False
CM081,P006,C041,2026-06-01 10:18:00,MAX Front,MAX Quality,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 19.,T221,False
CM082,P006,C041,2026-06-23 16:18:00,MAX Quality,MAX Front,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 19.,T221,False
CM083,P006,C042,2026-05-31 10:19:00,MAX Data,MAX Platform,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 20.,T226,False
CM084,P006,C042,2026-06-22 16:19:00,PMO,MAX Platform,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 20.,T226,True
CM085,P006,C043,2026-05-30 10:20:00,MAX AI,MAX Security,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 21.,T231,False
CM086,P006,C043,2026-06-21 16:20:00,MAX Security,MAX AI,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 21.,T231,False
CM087,P006,C044,2026-06-19 10:21:00,MAX Quality,MAX Integration,Email,request,sent,Первичный запрос MAX2.0 по согласованию 22.,T236,False
CM088,P006,C044,2026-06-20 16:21:00,MAX Integration,MAX Quality,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 22.,T236,False
CM089,P006,C045,2026-06-18 10:22:00,MAX Platform,MAX Reliability,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 23.,T241,False
CM090,P006,C045,2026-06-19 16:22:00,MAX Reliability,MAX Platform,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 23.,T241,False
CM091,P006,C046,2026-06-17 10:23:00,MAX Security,MAX Compliance,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 24.,T246,False
CM092,P006,C046,2026-06-18 16:23:00,PMO,MAX Compliance,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 24.,T246,True
CM093,P006,C047,2026-06-16 10:24:00,MAX Integration,MAX CX,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 25.,T251,False
CM094,P006,C047,2026-06-17 16:24:00,MAX CX,MAX Integration,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 25.,T251,False
CM095,P006,C048,2026-06-15 10:25:00,MAX Reliability,MAX PMO,Email,request,sent,Первичный запрос MAX2.0 по согласованию 26.,T256,False
CM096,P006,C048,2026-06-16 16:25:00,MAX PMO,MAX Reliability,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 26.,T256,False
CM097,P006,C049,2026-06-14 10:26:00,MAX Compliance,MAX Analysis,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 27.,T261,False
CM098,P006,C049,2026-06-15 16:26:00,MAX Analysis,MAX Compliance,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 27.,T261,False
CM099,P006,C050,2026-06-13 10:27:00,MAX CX,MAX Architecture,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 28.,T266,False
CM100,P006,C050,2026-06-14 16:27:00,PMO,MAX Architecture,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 28.,T266,True
CM101,P006,C051,2026-06-12 10:28:00,MAX PMO,MAX Core,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 29.,T271,False
CM102,P006,C051,2026-06-13 16:28:00,MAX Core,MAX PMO,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 29.,T271,False
CM103,P006,C052,2026-06-11 10:29:00,MAX Analysis,MAX Front,Email,request,sent,Первичный запрос MAX2.0 по согласованию 30.,T276,False
CM104,P006,C052,2026-06-12 16:29:00,MAX Front,MAX Analysis,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 30.,T276,False
CM105,P006,C053,2026-06-10 10:30:00,MAX Architecture,MAX Data,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 1.,T281,False
CM106,P006,C053,2026-06-11 16:30:00,MAX Data,MAX Architecture,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 1.,T281,False
CM107,P006,C054,2026-06-09 10:31:00,MAX Core,MAX AI,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 2.,T286,False
CM108,P006,C054,2026-06-10 16:31:00,PMO,MAX AI,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 2.,T286,True
CM109,P006,C055,2026-06-08 10:32:00,MAX Front,MAX Quality,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 3.,T291,False
CM110,P006,C055,2026-06-09 16:32:00,MAX Quality,MAX Front,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 3.,T291,False
CM111,P006,C056,2026-06-07 10:33:00,MAX Data,MAX Platform,Email,request,sent,Первичный запрос MAX2.0 по согласованию 4.,T296,False
CM112,P006,C056,2026-06-08 16:33:00,MAX Platform,MAX Data,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 4.,T296,False
CM113,P006,C057,2026-06-06 10:34:00,MAX AI,MAX Security,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 5.,T301,False
CM114,P006,C057,2026-06-24 16:34:00,MAX Security,MAX AI,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 5.,T301,False
CM115,P006,C058,2026-06-05 10:35:00,MAX Quality,MAX Integration,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 6.,T306,False
CM116,P006,C058,2026-06-23 16:35:00,PMO,MAX Integration,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 6.,T306,True
CM117,P006,C059,2026-06-04 10:36:00,MAX Platform,MAX Reliability,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 7.,T311,False
CM118,P006,C059,2026-06-22 16:36:00,MAX Reliability,MAX Platform,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 7.,T311,False
CM119,P006,C060,2026-06-03 10:37:00,MAX Security,MAX Compliance,Email,request,sent,Первичный запрос MAX2.0 по согласованию 8.,T316,False
CM120,P006,C060,2026-06-21 16:37:00,MAX Compliance,MAX Security,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 8.,T316,False
CM121,P006,C061,2026-06-02 10:38:00,MAX Integration,MAX CX,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 9.,T321,False
CM122,P006,C061,2026-06-20 16:38:00,MAX CX,MAX Integration,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 9.,T321,False
CM123,P006,C062,2026-06-01 10:39:00,MAX Reliability,MAX PMO,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 10.,T326,False
CM124,P006,C062,2026-06-19 16:39:00,PMO,MAX PMO,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 10.,T326,True
CM125,P006,C063,2026-05-31 10:40:00,MAX Compliance,MAX Analysis,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 11.,T331,False
CM126,P006,C063,2026-06-18 16:40:00,MAX Analysis,MAX Compliance,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 11.,T331,False
CM127,P006,C064,2026-05-30 10:41:00,MAX CX,MAX Architecture,Email,request,sent,Первичный запрос MAX2.0 по согласованию 12.,T336,False
CM128,P006,C064,2026-06-17 16:41:00,MAX Architecture,MAX CX,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 12.,T336,False
CM129,P006,C065,2026-06-19 10:42:00,MAX PMO,MAX Core,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 13.,T341,False
CM130,P006,C065,2026-06-16 16:42:00,MAX Core,MAX PMO,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 13.,T341,False
CM131,P006,C066,2026-06-18 10:43:00,MAX Analysis,MAX Front,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 14.,T346,False
CM132,P006,C066,2026-06-15 16:43:00,PMO,MAX Front,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 14.,T346,True
CM133,P006,C067,2026-06-17 10:44:00,MAX Architecture,MAX Data,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 15.,T351,False
CM134,P006,C067,2026-06-14 16:44:00,MAX Data,MAX Architecture,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 15.,T351,False
CM135,P006,C068,2026-06-16 10:45:00,MAX Core,MAX AI,Email,request,sent,Первичный запрос MAX2.0 по согласованию 16.,T356,False
CM136,P006,C068,2026-06-13 16:45:00,MAX AI,MAX Core,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 16.,T356,False
CM137,P006,C069,2026-06-15 10:46:00,MAX Front,MAX Quality,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 17.,T361,False
CM138,P006,C069,2026-06-12 16:46:00,MAX Quality,MAX Front,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 17.,T361,False
CM139,P006,C070,2026-06-14 10:47:00,MAX Data,MAX Platform,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 18.,T366,False
CM140,P006,C070,2026-06-11 16:47:00,PMO,MAX Platform,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 18.,T366,True
CM141,P006,C071,2026-06-13 10:48:00,MAX AI,MAX Security,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 19.,T371,False
CM142,P006,C071,2026-06-10 16:48:00,MAX Security,MAX AI,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 19.,T371,False
CM143,P006,C072,2026-06-12 10:49:00,MAX Quality,MAX Integration,Email,request,sent,Первичный запрос MAX2.0 по согласованию 20.,T376,False
CM144,P006,C072,2026-06-09 16:49:00,MAX Integration,MAX Quality,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 20.,T376,False
CM145,P006,C073,2026-06-11 10:50:00,MAX Platform,MAX Reliability,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 21.,T381,False
CM146,P006,C073,2026-06-08 16:50:00,MAX Reliability,MAX Platform,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 21.,T381,False
CM147,P006,C074,2026-06-10 10:51:00,MAX Security,MAX Compliance,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 22.,T386,False
CM148,P006,C074,2026-06-24 16:51:00,PMO,MAX Compliance,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 22.,T386,True
CM149,P006,C075,2026-06-09 10:52:00,MAX Integration,MAX CX,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 23.,T391,False
CM150,P006,C075,2026-06-23 16:52:00,MAX CX,MAX Integration,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 23.,T391,False
CM151,P006,C076,2026-06-08 10:53:00,MAX Reliability,MAX PMO,Email,request,sent,Первичный запрос MAX2.0 по согласованию 24.,T396,False
CM152,P006,C076,2026-06-22 16:53:00,MAX PMO,MAX Reliability,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 24.,T396,False
CM153,P006,C077,2026-06-07 10:54:00,MAX Compliance,MAX Analysis,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 25.,T401,False
CM154,P006,C077,2026-06-21 16:54:00,MAX Analysis,MAX Compliance,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 25.,T401,False
CM155,P006,C078,2026-06-06 10:55:00,MAX CX,MAX Architecture,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 26.,T406,False
CM156,P006,C078,2026-06-20 16:55:00,PMO,MAX Architecture,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 26.,T406,True
CM157,P006,C079,2026-06-05 10:56:00,MAX PMO,MAX Core,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 27.,T411,False
CM158,P006,C079,2026-06-19 16:56:00,MAX Core,MAX PMO,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 27.,T411,False
CM159,P006,C080,2026-06-04 10:57:00,MAX Analysis,MAX Front,Email,request,sent,Первичный запрос MAX2.0 по согласованию 28.,T416,False
CM160,P006,C080,2026-06-18 16:57:00,MAX Front,MAX Analysis,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 28.,T416,False
CM161,P006,C081,2026-06-03 10:58:00,MAX Architecture,MAX Data,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 29.,T421,False
CM162,P006,C081,2026-06-17 16:58:00,MAX Data,MAX Architecture,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 29.,T421,False
CM163,P006,C082,2026-06-02 10:59:00,MAX Core,MAX AI,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 30.,T426,False
CM164,P006,C082,2026-06-16 16:59:00,PMO,MAX AI,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 30.,T426,True
CM165,P006,C083,2026-06-01 10:00:00,MAX Front,MAX Quality,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 1.,T431,False
CM166,P006,C083,2026-06-15 16:00:00,MAX Quality,MAX Front,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 1.,T431,False
CM167,P006,C084,2026-05-31 10:01:00,MAX Data,MAX Platform,Email,request,sent,Первичный запрос MAX2.0 по согласованию 2.,T436,False
CM168,P006,C084,2026-06-14 16:01:00,MAX Platform,MAX Data,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 2.,T436,False
CM169,P006,C085,2026-05-30 10:02:00,MAX AI,MAX Security,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 3.,T441,False
CM170,P006,C085,2026-06-13 16:02:00,MAX Security,MAX AI,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 3.,T441,False
CM171,P006,C086,2026-06-19 10:03:00,MAX Quality,MAX Integration,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 4.,T446,False
CM172,P006,C086,2026-06-12 16:03:00,PMO,MAX Integration,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 4.,T446,True
CM173,P006,C087,2026-06-18 10:04:00,MAX Platform,MAX Reliability,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 5.,T451,False
CM174,P006,C087,2026-06-11 16:04:00,MAX Reliability,MAX Platform,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 5.,T451,False
CM175,P006,C088,2026-06-17 10:05:00,MAX Security,MAX Compliance,Email,request,sent,Первичный запрос MAX2.0 по согласованию 6.,T456,False
CM176,P006,C088,2026-06-10 16:05:00,MAX Compliance,MAX Security,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 6.,T456,False
CM177,P006,C089,2026-06-16 10:06:00,MAX Integration,MAX CX,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 7.,T461,False
CM178,P006,C089,2026-06-09 16:06:00,MAX CX,MAX Integration,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 7.,T461,False
CM179,P006,C090,2026-06-15 10:07:00,MAX Reliability,MAX PMO,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 8.,T466,False
CM180,P006,C090,2026-06-08 16:07:00,PMO,MAX PMO,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 8.,T466,True
CM181,P006,C091,2026-06-14 10:08:00,MAX Compliance,MAX Analysis,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 9.,T471,False
CM182,P006,C091,2026-06-24 16:08:00,MAX Analysis,MAX Compliance,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 9.,T471,False
CM183,P006,C092,2026-06-13 10:09:00,MAX CX,MAX Architecture,Email,request,sent,Первичный запрос MAX2.0 по согласованию 10.,T476,False
CM184,P006,C092,2026-06-23 16:09:00,MAX Architecture,MAX CX,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 10.,T476,False
CM185,P006,C093,2026-06-12 10:10:00,MAX PMO,MAX Core,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 11.,T481,False
CM186,P006,C093,2026-06-22 16:10:00,MAX Core,MAX PMO,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 11.,T481,False
