идентификатор,идентификатор_проекта,внешний_идентификатор,заголовок,идентификатор_исполнителя,исполнитель,статус,приоритет,плановый_срок,фактическая_дата_завершения,оценка_часов,затрачено_часов,заблокирована,причина_блокировки
T065,P003,МБ20-007,Проверить систему дизайна мобильных компонентов,R014,Кирилл Морозов,Завершена,средний,2026-05-26,2026-05-27,52,54,ложь,
T066,P003,МБ20-008,Согласовать регрессионный пакет автотестов,R014,Кирилл Морозов,Завершена,высокий,2026-05-29,2026-05-28,46,34,ложь,
T067,P003,МБ20-009,Проверить интеграцию с биометрическим входом,R018,Артур Комаров,Завершена,средний,2026-06-02,2026-05-31,68,68,ложь,
T068,P003,МБ20-010,Подготовить релизные заметки для магазина приложений,R017,Татьяна Белова,Завершена,средний,2026-05-28,2026-05-26,55,50,ложь,
T069,P003,МБ20-011,Подготовить первичное подключение клиента,R018,Артур Комаров,Завершена,средний,2026-06-01,2026-06-05,46,36,ложь,
T070,P003,МБ20-012,Протестировать экран платежей по шаблонам,R014,Кирилл Морозов,Завершена,средний,2026-05-14,2026-05-18,54,45,ложь,
T071,P003,МБ20-013,Протестировать подсказки в уведомлениях в профиле,R014,Кирилл Морозов,Завершена,высокий,2026-06-08,2026-06-07,53,51,ложь,
T072,P003,МБ20-014,Разработать рефакторинг авторизации,R018,Артур Комаров,Завершена,высокий,2026-05-31,2026-06-06,59,54,ложь,
T073,P003,МБ20-015,Проверить аналитику клиентских событий,R015,Дарья Захарова,Завершена,средний,2026-05-30,2026-06-05,29,24,ложь,
T074,P003,МБ20-016,Проверить сравнительный тест главного экрана,R018,Артур Комаров,Завершена,низкий,2026-05-23,2026-05-25,39,47,ложь,
T075,P003,МБ20-017,Подготовить систему дизайна мобильных компонентов,R014,Кирилл Морозов,Завершена,высокий,2026-05-25,2026-05-29,47,41,ложь,
T076,P003,МБ20-018,Согласовать регрессионный пакет автотестов,R018,Артур Комаров,Завершена,низкий,2026-05-25,2026-05-31,77,62,ложь,
T077,P003,МБ20-019,Подготовить интеграцию с биометрическим входом,R018,Артур Комаров,Завершена,высокий,2026-05-17,2026-05-19,33,17,ложь,
T078,P003,МБ20-020,Подготовить релизные заметки для магазина приложений,R018,Артур Комаров,Завершена,средний,2026-05-31,2026-06-01,13,21,ложь,
T079,P003,МБ20-021,Интегрировать первичное подключение клиента,R013,Екатерина Васильева,Завершена,низкий,2026-06-11,2026-06-10,50,38,ложь,
T080,P003,МБ20-022,Интегрировать экран платежей по шаблонам,R018,Артур Комаров,В работе,низкий,2026-07-08,,8,7,ложь,
T081,P003,МБ20-023,Проверить подсказки в уведомлениях в профиле,R019,Софья Андреева,Запланирована,низкий,2026-07-17,,8,7,ложь,
T082,P003,МБ20-024,Проверить рефакторинг авторизации,R009,Анна Попова,Запланирована,низкий,2026-06-26,,10,4,ложь,
T083,P004,ПШ-001,Подготовить единый платежный программный интерфейс,R017,Татьяна Белова,Заблокирована,критический,2026-06-05,,72,57,истина,Поставщик СБП задерживает тестовые сертификаты
T084,P004,ПШ-002,Протестировать коннектор СБП,R022,Евгений Фомин,Заблокирована,критический,2026-06-12,,43,46,истина,Чек-лист PCI DSS возвращен на доработку
T085,P004,ПШ-003,Интегрировать адаптер карточного эквайринга,R017,Татьяна Белова,На проверке,средний,2026-06-10,,53,37,ложь,
T086,P004,ПШ-004,Протестировать маршрутизацию платежей,R010,Роман Егоров,На проверке,высокий,2026-06-03,,66,65,ложь,
T087,P004,ПШ-005,Интегрировать идемпотентность операций,R011,Виктория Павлова,На проверке,средний,2026-06-07,,21,25,ложь,
T088,P004,ПШ-006,Интегрировать мониторинг уровня сервиса,R010,Роман Егоров,На проверке,высокий,2026-05-26,,63,65,ложь,
T089,P004,ПШ-007,Документировать чек-лист PCI DSS,R016,Михаил Зайцев,На проверке,средний,2026-06-07,,54,49,ложь,
T090,P004,ПШ-008,Согласовать нагрузочные тесты шлюза,R010,Роман Егоров,Завершена,средний,2026-06-07,2026-06-11,82,66,ложь,
T091,P004,ПШ-009,Подготовить резервный контур обработки,R017,Татьяна Белова,Завершена,высокий,2026-05-12,2026-05-15,64,60,ложь,
T092,P004,ПШ-010,Протестировать сверку платежных статусов,R022,Евгений Фомин,Завершена,средний,2026-05-26,2026-05-31,34,29,ложь,
T093,P004,ПШ-011,Интегрировать единый платежный программный интерфейс,R001,Алексей Соколов,Завершена,низкий,2026-06-05,2026-06-08,55,58,ложь,
T094,P004,ПШ-012,Документировать коннектор СБП,R005,Ольга Иванова,Завершена,средний,2026-05-13,2026-05-17,29,17,ложь,
T095,P004,ПШ-013,Документировать адаптер карточного эквайринга,R005,Ольга Иванова,Завершена,средний,2026-06-10,2026-06-10,32,28,ложь,
T096,P004,ПШ-014,Разработать маршрутизацию платежей,R010,Роман Егоров,Завершена,высокий,2026-06-10,2026-06-13,64,60,ложь,
T097,P004,ПШ-015,Документировать идемпотентность операций,R016,Михаил Зайцев,Завершена,низкий,2026-05-28,2026-05-27,28,13,ложь,
T098,P004,ПШ-016,Настроить мониторинг уровня сервиса,R012,Георгий Орлов,Завершена,средний,2026-05-26,2026-05-25,52,60,ложь,
T099,P004,ПШ-017,Настроить чек-лист PCI DSS,R010,Роман Егоров,Завершена,средний,2026-05-13,2026-05-13,27,20,ложь,
T100,P004,ПШ-018,Согласовать нагрузочные тесты шлюза,R024,Владислав Крылов,Завершена,высокий,2026-05-25,2026-05-30,64,61,ложь,
T101,P004,ПШ-019,Согласовать резервный контур обработки,R024,Владислав Крылов,Завершена,высокий,2026-05-19,2026-05-19,28,18,ложь,
T102,P004,ПШ-020,Протестировать сверку платежных статусов,R011,Виктория Павлова,Завершена,средний,2026-06-05,2026-06-09,26,16,ложь,
T103,P004,ПШ-021,Разработать единый платежный программный интерфейс,R004,Илья Смирнов,Завершена,средний,2026-05-31,2026-05-30,43,34,ложь,
T104,P004,ПШ-022,Настроить коннектор СБП,R012,Георгий Орлов,Завершена,высокий,2026-05-16,2026-05-22,17,12,ложь,
T105,P004,ПШ-023,Разработать адаптер карточного эквайринга,R004,Илья Смирнов,В работе,высокий,2026-07-04,,28,14,ложь,
T106,P004,ПШ-024,Согласовать маршрутизацию платежей,R016,Михаил Зайцев,Запланирована,высокий,2026-07-16,,20,20,ложь,
T107,P004,ПШ-025,Проверить идемпотентность операций,R017,Татьяна Белова,В работе,высокий,2026-07-16,,10,8,ложь,
T108,P004,ПШ-026,Протестировать мониторинг уровня сервиса,R004,Илья Смирнов,В работе,средний,2026-07-07,,30,24,ложь,
T109,P005,КК360-001,Согласовать золотую запись клиента,R016,Михаил Зайцев,Заблокирована,критический,2026-06-14,,26,19,истина,Не получено подтверждение владельца данных по CRM-дублям
T110,P005,КК360-002,Подготовить правила дедупликации контактов,R006,Павел Никитин,На проверке,высокий,2026-06-11,,71,71,ложь,
T111,P005,КК360-003,Согласовать витрину клиентских событий,R016,Михаил Зайцев,На проверке,высокий,2026-05-31,,51,53,ложь,
T112,P005,КК360-004,Документировать программный интерфейс профиля 360,R006,Павел Никитин,Завершена,средний,2026-06-07,2026-06-12,63,56,ложь,
T113,P005,КК360-005,Интегрировать сопоставление каналов продаж,R020,Никита Новиков,Завершена,высокий,2026-05-13,2026-05-12,30,26,ложь,
T114,P005,КК360-006,Разработать историю взаимодействий,R016,Михаил Зайцев,Завершена,высокий,2026-06-04,2026-06-09,54,39,ложь,
T115,P005,КК360-007,Документировать качество данных по ИНН,R016,Михаил Зайцев,Завершена,высокий,2026-06-10,2026-06-12,27,28,ложь,
T116,P005,КК360-008,Настроить сегменты кросс-продаж,R023,Лариса Сергеева,Завершена,средний,2026-05-24,2026-05-27,68,59,ложь,
T117,P005,КК360-009,Согласовать ролевую модель доступа CRM,R006,Павел Никитин,Завершена,высокий,2026-05-25,2026-05-30,68,58,ложь,
T118,P005,КК360-010,Подготовить панель показателей полноты профиля,R002,Мария Кузнецова,Завершена,средний,2026-05-24,2026-05-26,32,35,ложь,
T119,P005,КК360-011,Протестировать золотую запись клиента,R002,Мария Кузнецова,Завершена,средний,2026-05-20,2026-05-22,67,74,ложь,
T120,P005,КК360-012,Интегрировать правила дедупликации контактов,R023,Лариса Сергеева,Завершена,средний,2026-05-20,2026-05-25,59,67,ложь,
T121,P005,КК360-013,Документировать витрину клиентских событий,R020,Никита Новиков,Завершена,высокий,2026-06-11,2026-06-16,16,23,ложь,
T122,P005,КК360-014,Интегрировать программный интерфейс профиля 360,R020,Никита Новиков,Завершена,низкий,2026-05-19,2026-05-18,37,43,ложь,
T123,P005,КК360-015,Проверить сопоставление каналов продаж,R006,Павел Никитин,Завершена,средний,2026-05-21,2026-05-23,22,27,ложь,
T124,P005,КК360-016,Проверить историю взаимодействий,R021,Полина Соколова,Завершена,низкий,2026-05-26,2026-06-01,46,40,ложь,
T125,P005,КК360-017,Настроить качество данных по ИНН,R021,Полина Соколова,Завершена,средний,2026-06-08,2026-06-10,66,51,ложь,
T126,P005,КК360-018,Согласовать сегменты кросс-продаж,R006,Павел Никитин,Завершена,средний,2026-05-25,2026-05-27,21,22,ложь,
T127,P005,КК360-019,Интегрировать ролевую модель доступа CRM,R021,Полина Соколова,Завершена,средний,2026-05-16,2026-05-16,44,38,ложь,
T128,P005,КК360-020,Документировать панель показателей полноты профиля,R016,Михаил Зайцев,Запланирована,низкий,2026-06-30,,23,22,ложь,
T129,P005,КК360-021,Интегрировать золотую запись клиента,R002,Мария Кузнецова,Запланирована,высокий,2026-07-01,,31,18,ложь,
T130,P005,КК360-022,Разработать правила дедупликации контактов,R020,Никита Новиков,Запланирована,средний,2026-07-10,,16,20,ложь,
T131,P006,MAX20-0001,Настроить платежный слой оркестрации для МСБ,R026,Валерия Басова,Заблокирована,критический,2026-06-17,,14,25,истина,Ожидается согласование безопасности для продуктивного доступа
T132,P006,MAX20-0002,Проверить единый профиль клиента для корпоративного блока,R027,Глеб Воронцов,Заблокирована,высокий,2026-06-16,,16,26,истина,Не подтверждено окно миграции устаревших данных
T133,P006,MAX20-0003,Согласовать витрину клиентских событий для рисков,R028,Диана Галкин,На проверке,средний,2026-06-15,,8,15,ложь,
T134,P006,MAX20-0004,Подготовить онлайн-антифрод для платежей,R029,Егор Демина,В работе,критический,2026-06-14,,8,16,ложь,
T135,P006,MAX20-0005,Протестировать кредитный механизм принятия решений для контакт-центра,R030,Инна Еремин,На проверке,высокий,2026-06-13,,10,17,ложь,
T136,P006,MAX20-0006,Интегрировать корпоративный шлюз программных интерфейсов для операционного офиса,R031,Лев Жукова,В работе,высокий,2026-06-12,,12,18,ложь,
T137,P006,MAX20-0007,Документировать модуль лимитов и тарифов для розницы,R032,Милана Зорин,На проверке,средний,2026-06-11,,14,19,ложь,
T138,P006,MAX20-0008,Разработать операционный мониторинг для МСБ,R025,Артем Аверин,Завершена,высокий,2026-06-07,2026-06-11,12,16,ложь,
T139,P006,MAX20-0009,Настроить сервис уведомлений для корпоративного блока,R026,Валерия Басова,Завершена,средний,2026-06-08,2026-06-13,14,17,ложь,
T140,P006,MAX20-0010,Проверить конвейер качества данных для рисков,R027,Глеб Воронцов,Завершена,средний,2026-06-09,2026-06-15,16,18,ложь,
T141,P006,MAX20-0011,Согласовать миграцию устаревших процессов для платежей,R028,Диана Галкин,Завершена,низкий,2026-06-10,2026-06-17,18,19,ложь,
T142,P006,MAX20-0012,Подготовить контур аудита действий для контакт-центра,R029,Егор Демина,Завершена,высокий,2026-06-11,2026-06-19,20,20,ложь,
T143,P006,MAX20-0013,Протестировать ролевую модель доступа для операционного офиса,R030,Инна Еремин,Завершена,средний,2026-06-12,2026-06-18,22,21,ложь,
T144,P006,MAX20-0014,Интегрировать ИИ-помощника оператора для розницы,R031,Лев Жукова,Завершена,средний,2026-06-13,2026-06-17,24,22,ложь,
T145,P006,MAX20-0015,Документировать модуль согласований для МСБ,R032,Милана Зорин,Завершена,низкий,2026-06-14,2026-06-16,26,23,ложь,
T146,P006,MAX20-0016,Разработать каталог банковских продуктов для корпоративного блока,R025,Артем Аверин,Завершена,высокий,2026-06-15,2026-06-19,28,24,ложь,
T147,P006,MAX20-0017,Настроить шину интеграций для рисков,R026,Валерия Басова,Завершена,средний,2026-06-16,2026-06-12,30,25,ложь,
T148,P006,MAX20-0018,Проверить наблюдаемость платформы для платежей,R027,Глеб Воронцов,Завершена,средний,2026-06-17,2026-06-14,32,26,ложь,
T149,P006,MAX20-0019,Согласовать контур аварийного восстановления для контакт-центра,R028,Диана Галкин,Завершена,низкий,2026-06-18,2026-06-16,34,27,ложь,
T150,P006,MAX20-0020,Подготовить контур идентификации клиента для операционного офиса,R029,Егор Демина,Завершена,высокий,2026-06-19,2026-06-18,36,28,ложь,
T151,P006,MAX20-0021,Протестировать платежный слой оркестрации для розницы,R030,Инна Еремин,Запланирована,средний,2026-07-11,,30,21,ложь,
T152,P006,MAX20-0022,Интегрировать единый профиль клиента для МСБ,R031,Лев Жукова,В работе,низкий,2026-07-12,,32,22,ложь,
T153,P006,MAX20-0023,Документировать витрину клиентских событий для корпоративного блока,R032,Милана Зорин,Запланирована,средний,2026-07-13,,34,23,ложь,
T154,P006,MAX20-0024,Разработать онлайн-антифрод для рисков,R025,Артем Аверин,Запланирована,высокий,2026-07-14,,36,24,ложь,
