id,project_id,budget_id,category,item_name,planned_amount,actual_amount,owner_team
BI048,P006,B006,Migration,MAX2.0 статья 28,30335681,17316618,MAX CX
BI049,P006,B006,Observability,MAX2.0 статья 29,34314131,19587650,MAX PMO
BI050,P006,B006,Rollout,MAX2.0 статья 30,38292582,21858682,MAX Analysis
BI051,P006,B006,Core Platform,MAX2.0 статья 31,33568173,19161832,MAX Architecture
BI052,P006,B006,Integration,MAX2.0 статья 32,37546621,21432863,MAX Core
BI053,P006,B006,Data,MAX2.0 статья 33,41525072,23703895,MAX Front
BI054,P006,B006,AI,MAX2.0 статья 34,20886862,11922917,MAX Data
BI055,P006,B006,Security,MAX2.0 статья 35,24865312,14193949,MAX AI
BI056,P006,B006,Compliance,MAX2.0 статья 36,20140903,11497098,MAX Quality
BI057,P006,B006,Testing,MAX2.0 статья 37,24119353,13768131,MAX Platform
BI058,P006,B006,Migration,MAX2.0 статья 38,28097803,16039162,MAX Security
BI059,P006,B006,Observability,MAX2.0 статья 39,32076253,18310194,MAX Integration
BI060,P006,B006,Rollout,MAX2.0 статья 40,36054703,20581226,MAX Reliability
BI061,P006,B006,Core Platform,MAX2.0 статья 41,31330295,17884376,MAX Compliance
BI062,P006,B006,Integration,MAX2.0 статья 42,35308744,20155408,MAX CX
BI063,P006,B006,Data,MAX2.0 статья 43,39287194,22426439,MAX PMO
BI064,P006,B006,AI,MAX2.0 статья 44,43265644,24697472,MAX Analysis
BI065,P006,B006,Security,MAX2.0 статья 45,22627434,12916494,MAX Architecture
BI066,P006,B006,Compliance,MAX2.0 статья 46,17903025,10219643,MAX Core
BI067,P006,B006,Testing,MAX2.0 статья 47,21881474,12490675,MAX Front
BI068,P006,B006,Migration,MAX2.0 статья 48,25859925,14761707,MAX Data
BI069,P006,B006,Observability,MAX2.0 статья 49,29838375,17032738,MAX AI
BI070,P006,B006,Rollout,MAX2.0 статья 50,33816825,19303771,MAX Quality
BI071,P006,B006,Core Platform,MAX2.0 статья 51,29092416,16606920,MAX Platform
BI072,P006,B006,Integration,MAX2.0 статья 52,33070866,18877953,MAX Security
BI073,P006,B006,Data,MAX2.0 статья 53,37049316,21148984,MAX Integration
BI074,P006,B006,AI,MAX2.0 статья 54,41027766,23420016,MAX Reliability
BI075,P006,B006,Security,MAX2.0 статья 55,45006216,25691048,MAX Compliance
BI076,P006,B006,Compliance,MAX2.0 статья 56,15665147,8942188,MAX CX
BI077,P006,B006,Testing,MAX2.0 статья 57,19643596,11213219,MAX PMO
BI078,P006,B006,Migration,MAX2.0 статья 58,23622046,13484251,MAX Analysis
BI079,P006,B006,Observability,MAX2.0 статья 59,27600497,15755283,MAX Architecture
BI080,P006,B006,Rollout,MAX2.0 статья 60,31578947,18026315,MAX Core
BI081,P006,B006,Core Platform,MAX2.0 статья 61,26854538,15329465,MAX Front
BI082,P006,B006,Integration,MAX2.0 статья 62,30832987,17600497,MAX Data
BI083,P006,B006,Data,MAX2.0 статья 63,34811438,19871529,MAX AI
BI084,P006,B006,AI,MAX2.0 статья 64,38789888,22142561,MAX Quality
BI085,P006,B006,Security,MAX2.0 статья 65,42768338,24413592,MAX Platform
BI086,P006,B006,Compliance,MAX2.0 статья 66,38043929,21716743,MAX Security
BI087,P006,B006,Testing,MAX2.0 статья 67,17405718,9935764,MAX Integration
BI088,P006,B006,Migration,MAX2.0 статья 68,21384168,12206796,MAX Reliability
BI089,P006,B006,Observability,MAX2.0 статья 69,25362618,14477827,MAX Compliance
BI090,P006,B006,Rollout,MAX2.0 статья 70,29341069,16748860,MAX CX
BI091,P006,B006,Core Platform,MAX2.0 статья 71,24616659,14052009,MAX PMO
BI092,P006,B006,Integration,MAX2.0 статья 72,28595109,16323042,MAX Analysis
BI093,P006,B006,Data,MAX2.0 статья 73,32573559,18594073,MAX Architecture
BI094,P006,B006,AI,MAX2.0 статья 74,36552010,20865106,MAX Core
BI095,P006,B006,Security,MAX2.0 статья 75,40530460,23136137,MAX Front
BI096,P006,B006,Compliance,MAX2.0 статья 76,35806050,20439287,MAX Data
BI097,P006,B006,Testing,MAX2.0 статья 77,39784500,22710319,MAX AI
BI098,P006,B006,Migration,MAX2.0 статья 78,19146290,10929341,MAX Quality
BI099,P006,B006,Observability,MAX2.0 статья 79,23124740,13200372,MAX Platform
BI100,P006,B006,Rollout,MAX2.0 статья 80,27103232,15471443,MAX Security
