id,project_id,request_date,requested_by,change_type,description,requested_budget_delta,requested_timeline_delta_days,status
CR039,P006,2026-07-04,MAX Data,performance_tuning,MAX2.0 запрос на изменение 34: уточнение объема работ по крупному потоку.,0,0,approved
CR040,P006,2026-07-05,MAX AI,release_scope,MAX2.0 запрос на изменение 35: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR041,P006,2026-07-06,MAX Quality,integration_scope,MAX2.0 запрос на изменение 36: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR042,P006,2026-07-07,MAX Platform,security_scope,MAX2.0 запрос на изменение 37: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR043,P006,2026-07-08,MAX Security,migration_scope,MAX2.0 запрос на изменение 38: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR044,P006,2026-07-09,MAX Integration,performance_tuning,MAX2.0 запрос на изменение 39: уточнение объема работ по крупному потоку.,0,0,approved
CR045,P006,2026-07-10,MAX Reliability,release_scope,MAX2.0 запрос на изменение 40: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR046,P006,2026-07-11,MAX Compliance,integration_scope,MAX2.0 запрос на изменение 41: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR047,P006,2026-07-12,MAX CX,security_scope,MAX2.0 запрос на изменение 42: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR048,P006,2026-07-13,MAX PMO,migration_scope,MAX2.0 запрос на изменение 43: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR049,P006,2026-07-14,MAX Analysis,performance_tuning,MAX2.0 запрос на изменение 44: уточнение объема работ по крупному потоку.,0,0,approved
CR050,P006,2026-07-15,MAX Architecture,release_scope,MAX2.0 запрос на изменение 45: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR051,P006,2026-06-01,MAX Core,integration_scope,MAX2.0 запрос на изменение 46: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR052,P006,2026-06-02,MAX Front,security_scope,MAX2.0 запрос на изменение 47: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR053,P006,2026-06-03,MAX Data,migration_scope,MAX2.0 запрос на изменение 48: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR054,P006,2026-06-04,MAX AI,performance_tuning,MAX2.0 запрос на изменение 49: уточнение объема работ по крупному потоку.,0,0,approved
CR055,P006,2026-06-05,MAX Quality,release_scope,MAX2.0 запрос на изменение 50: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR056,P006,2026-06-06,MAX Platform,integration_scope,MAX2.0 запрос на изменение 51: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR057,P006,2026-06-07,MAX Security,security_scope,MAX2.0 запрос на изменение 52: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR058,P006,2026-06-08,MAX Integration,migration_scope,MAX2.0 запрос на изменение 53: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR059,P006,2026-06-09,MAX Reliability,performance_tuning,MAX2.0 запрос на изменение 54: уточнение объема работ по крупному потоку.,0,0,approved
CR060,P006,2026-06-10,MAX Compliance,release_scope,MAX2.0 запрос на изменение 55: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR061,P006,2026-06-11,MAX CX,integration_scope,MAX2.0 запрос на изменение 56: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR062,P006,2026-06-12,MAX PMO,security_scope,MAX2.0 запрос на изменение 57: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR063,P006,2026-06-13,MAX Analysis,migration_scope,MAX2.0 запрос на изменение 58: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR064,P006,2026-06-14,MAX Architecture,performance_tuning,MAX2.0 запрос на изменение 59: уточнение объема работ по крупному потоку.,0,0,approved
CR065,P006,2026-06-15,MAX Core,release_scope,MAX2.0 запрос на изменение 60: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR066,P006,2026-06-16,MAX Front,integration_scope,MAX2.0 запрос на изменение 61: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR067,P006,2026-06-17,MAX Data,security_scope,MAX2.0 запрос на изменение 62: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR068,P006,2026-06-18,MAX AI,migration_scope,MAX2.0 запрос на изменение 63: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR069,P006,2026-06-19,MAX Quality,performance_tuning,MAX2.0 запрос на изменение 64: уточнение объема работ по крупному потоку.,0,0,approved
CR070,P006,2026-06-20,MAX Platform,release_scope,MAX2.0 запрос на изменение 65: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR071,P006,2026-06-21,MAX Security,integration_scope,MAX2.0 запрос на изменение 66: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR072,P006,2026-06-22,MAX Integration,security_scope,MAX2.0 запрос на изменение 67: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR073,P006,2026-06-23,MAX Reliability,migration_scope,MAX2.0 запрос на изменение 68: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR074,P006,2026-06-24,MAX Compliance,performance_tuning,MAX2.0 запрос на изменение 69: уточнение объема работ по крупному потоку.,0,0,approved
CR075,P006,2026-06-25,MAX CX,release_scope,MAX2.0 запрос на изменение 70: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR076,P006,2026-06-26,MAX PMO,integration_scope,MAX2.0 запрос на изменение 71: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR077,P006,2026-06-27,MAX Analysis,security_scope,MAX2.0 запрос на изменение 72: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR078,P006,2026-06-28,MAX Architecture,migration_scope,MAX2.0 запрос на изменение 73: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR079,P006,2026-06-29,MAX Core,performance_tuning,MAX2.0 запрос на изменение 74: уточнение объема работ по крупному потоку.,0,0,approved
CR080,P006,2026-06-30,MAX Front,release_scope,MAX2.0 запрос на изменение 75: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR081,P006,2026-07-01,MAX Data,integration_scope,MAX2.0 запрос на изменение 76: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR082,P006,2026-07-02,MAX AI,security_scope,MAX2.0 запрос на изменение 77: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR083,P006,2026-07-03,MAX Quality,migration_scope,MAX2.0 запрос на изменение 78: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR084,P006,2026-07-04,MAX Platform,performance_tuning,MAX2.0 запрос на изменение 79: уточнение объема работ по крупному потоку.,0,0,approved
CR085,P006,2026-07-05,MAX Security,release_scope,MAX2.0 запрос на изменение 80: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR086,P006,2026-07-06,MAX Integration,integration_scope,MAX2.0 запрос на изменение 81: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR087,P006,2026-07-07,MAX Reliability,security_scope,MAX2.0 запрос на изменение 82: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR088,P006,2026-07-08,MAX Compliance,migration_scope,MAX2.0 запрос на изменение 83: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR089,P006,2026-07-09,MAX CX,performance_tuning,MAX2.0 запрос на изменение 84: уточнение объема работ по крупному потоку.,0,0,approved
CR090,P006,2026-07-10,MAX PMO,release_scope,MAX2.0 запрос на изменение 85: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR091,P006,2026-07-11,MAX Analysis,integration_scope,MAX2.0 запрос на изменение 86: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR092,P006,2026-07-12,MAX Architecture,security_scope,MAX2.0 запрос на изменение 87: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR093,P006,2026-07-13,MAX Core,migration_scope,MAX2.0 запрос на изменение 88: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR094,P006,2026-07-14,MAX Front,performance_tuning,MAX2.0 запрос на изменение 89: уточнение объема работ по крупному потоку.,0,0,approved
CR095,P006,2026-07-15,MAX Data,release_scope,MAX2.0 запрос на изменение 90: уточнение объема работ по крупному потоку.,50000000,12,rejected
