идентификатор,идентификатор_проекта,команда_отправитель,команда_получатель,тема,канал,дата_последнего_сообщения,ожидаемая_дата_ответа,статус,важность,идентификатор_связанной_задачи
COM717,P007,Тестирование,Проектный офис,приоритет документов и переписки — рабочая редакция,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T703
COM718,P007,Тестирование,Проектный офис,приоритет документов и переписки — разбор неверного прочтения,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T703
COM719,P007,Проектный офис,AI-разработка,версия документа и совпадение текста — рабочая редакция,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T703
COM720,P007,Проектный офис,AI-разработка,версия документа и совпадение текста — разбор неверного прочтения,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T703
COM721,P007,Проектный офис,AI-разработка,свежесть и восстановление индекса — рабочая редакция,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T714
COM722,P007,Проектный офис,AI-разработка,свежесть и восстановление индекса — разбор неверного прочтения,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T714
COM723,P007,Проектный офис,Информационная безопасность,проверка закрытых источников — рабочая редакция,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T702
COM724,P007,Проектный офис,Информационная безопасность,проверка закрытых источников — разбор неверного прочтения,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T702
COM725,P007,Проектный офис,Сопровождение,приоритеты учебных обращений — рабочая редакция,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T715
COM726,P007,Проектный офис,Сопровождение,приоритеты учебных обращений — разбор неверного прочтения,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T715
COM727,P007,Проектный офис,Тестирование,двойная разметка ответов — рабочая редакция,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T708
COM728,P007,Проектный офис,Тестирование,двойная разметка ответов — разбор неверного прочтения,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T708
COM729,P007,Проектный офис,Сопровождение,подготовка учебной встречи — рабочая редакция,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T710
COM730,P007,Проектный офис,Сопровождение,подготовка учебной встречи — разбор неверного прочтения,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T710
COM731,P007,Тестирование,Проектный офис,альтернативы дополнительного тестирования — рабочая редакция,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T712
COM732,P007,Тестирование,Проектный офис,альтернативы дополнительного тестирования — разбор неверного прочтения,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T712
COM733,P007,Проектный офис,Тестирование,проверка утверждений и ссылок — рабочая редакция,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T707
COM734,P007,Проектный офис,Тестирование,проверка утверждений и ссылок — разбор неверного прочтения,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T707
COM735,P007,Тестирование,Проектный офис,подтверждение получения и решение — рабочая редакция,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T705
COM736,P007,Тестирование,Проектный офис,подтверждение получения и решение — разбор неверного прочтения,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T705
COM737,P007,Проектный офис,Инженерия данных,Кабинетная опись книг ING-201,проектный чат,2026-06-19,2026-06-22,получен ответ,средняя,T703
COM738,P007,Сопровождение,Инженерия данных,Единицы учебных таблиц ING-205,проектный чат,2026-06-19,2026-06-22,получен ответ,средняя,T703
COM739,P007,Информационная безопасность,AI-разработка,Происхождение одинаковых вложений ING-206,проектный чат,2026-06-19,2026-06-22,получен ответ,средняя,T706
COM740,P007,Тестирование,Проектный офис,Неполнота повторного пакета ING-207,проектный чат,2026-06-19,2026-06-22,получен ответ,средняя,T714
COM741,P007,Проектный офис,Сопровождение,регистрация и уточнение карточек,проектный чат,2026-06-19,2026-06-19,получен ответ,средняя,T715
COM742,P007,Сопровождение,Проектный офис,учебная статья и границы согласования,проектный чат,2026-06-19,2026-06-19,получен ответ,средняя,T709
COM743,P007,Сопровождение,Тестирование,раздатка и проверка читаемости,проектный чат,2026-06-19,2026-06-19,получен ответ,средняя,T710
COM744,P007,Проектный офис,Сопровождение,оценка подготовки описи и календарь,проектный чат,2026-06-19,2026-06-19,получен ответ,средняя,T712
COM745,P007,Тестирование,Инженерия данных,цитата ячейки и единица измерения,проектный чат,2026-06-19,2026-06-22,получен ответ,средняя,T707
COM746,P007,AI-разработка,Тестирование,происхождение бумажного ошибочного образца,проектный чат,2026-06-19,2026-06-22,получен ответ,средняя,T708
COM747,P007,Информационная безопасность,Проектный офис,ограничения настольного разбора ролей,проектный чат,2026-06-19,2026-06-22,получен ответ,средняя,T711
COM748,P007,Сопровождение,Проектный офис,прерывание ожидания и отмена показа,проектный чат,2026-06-19,2026-06-22,получен ответ,средняя,T716
